study,energy_restriction,energy_deficit,outcome,yi,ci.lb,ci.ub
Normandin 201517,1,290,STR1,0.89,0.66,1.11
Normandin 201517,1,290,STR2,0.42,0.22,0.61
Holm 200818,0,34,LM,0.15,-0.01,0.3
Vanni 201019,0,,STR1,0.48,0.3,0.66
Vanni 201019,0,,STR2,0.66,0.48,0.85
Hudson 201759,1,598,LM,-0.29,-0.43,-0.14
Arciero 201460,0,72,LM,0.01,-0.13,0.14
Wycherley 201061,1,792,LM,-0.13,-0.28,0.01
Karelis 201562,0,37,LM,0.05,-0.05,0.16
Wycherley 201061,1,894,LM,-0.18,-0.33,-0.02
Karelis 201562,0,7,LM,0.03,-0.08,0.13
Demling RH 200063,1,,STR1,-0.04,-0.27,0.2
Demling RH 200063,1,,STR2,2.94,2.37,3.51
Sakashita 201964,0,11,STR1,0.98,0.63,1.32
Sakashita 201964,0,11,STR2,1.56,1.12,2
Cardoso 201365,1,,STR1,0.86,0.51,1.22
Cardoso 201365,1,,STR2,1.53,1.07,1.99
Tibana 201366,0,,STR1,0.74,0.47,1.01
Tibana 201366,0,,STR2,0.68,0.42,0.94
Amamou 201767,1,278,LM,0.07,-0.1,0.23
Bacchi 201268,0,144,LM,0.07,-0.07,0.21
Marsh 201320,1,303,LM,-0.3,-0.49,-0.11
Treuth 199421,0,169,LM,0.26,0.08,0.44
Marsh 201320,1,425,LM,-0.34,-0.56,-0.13
Marsh 201320,1,425,STR,2.9,2.16,3.63
Tibana 201722,0,67,LM,0.07,-0.05,0.2
Tibana 201722,0,67,STR,0.93,0.72,1.13
