study,energy_restriction,energy_deficit,outcome,yi,ci.lb,ci.ub
Villareal 201745,1,451,LM,-0.06,-0.19,0.06
Leenders 201346,0,51,LM,0.24,0.12,0.37
Villareal 201745,1,373,LM,-0.26,-0.42,-0.09
Leenders 201346,0,67,LM,0.22,0.1,0.33
Hunter 201547,1,1012,LM,0.08,-0.02,0.17
Hunter 201547,1,1012,STR1,0.19,0.06,0.32
Hunter 201547,1,1012,STR2,0.17,0.04,0.3
Schroeder 200448,0,-25,LM,0.35,0.17,0.52
Schroeder 200448,0,-25,STR1,1.23,0.91,1.55
Schroeder 200448,0,-25,STR2,0.77,0.5,1.05
Beavers 201749,1,405,LM,-0.1,-0.18,-0.02
Vincent 200050,0,-26,LM,0.02,-0.12,0.15
Dunstan 200251,1,124,LM,0.12,-0.04,0.29
Dunstan 200251,1,124,STR1,0.53,0.28,0.78
Dunstan 200251,1,124,STR2,0.64,0.38,0.9
Tarnopolsky 200752,0,23,LM,0.09,0.02,0.16
Tarnopolsky 200752,0,23,STR1,2.78,2.28,3.29
Tarnopolsky 200752,0,23,STR2,1.06,0.8,1.33
Verreijen 201553,1,259,LM,-0.2,-0.31,-0.08
Rogers 200654,0,169,LM,0.07,-0.09,0.23
Dudgeon 201655,1,236,STR1,-0.22,-0.54,0.09
Dudgeon 201655,1,236,STR2,0.37,0.04,0.69
Wilson 201756,0,309,STR1,0.37,0.1,0.63
Wilson 201756,0,309,STR2,0.55,0.28,0.83
Jo 201957,1,1697,LM,-0.05,-0.3,0.21
Rosenbaum 201858,0,79,LM,0.16,0,0.32
Normandin 201517,1,290,LM,-0.07,-0.21,0.06
